"aspect","elev","install","plot","spec","tag","time","id","rgr","method","corr","degree","sdp","si","hazPeriod","lambda"
180,430,2,6,"FD",7,6,206,0,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",11,6,210,1.41576518630433,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",12,6,211,0.775875859561185,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",14,6,213,0.722117854030991,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",15,6,214,0.985883045358074,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",17,6,216,1.14318366662775,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",25,6,224,0.722674282866078,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",26,6,225,1.07660208497635,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",29,6,228,1.34251510124272,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",32,6,231,1.21546694831865,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",33,6,232,1.06264497303466,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",36,6,235,2.34256628108778,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",38,6,237,0.894696472903467,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",41,6,240,0.566972966585777,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",42,6,241,0.946911328381611,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",44,6,243,0.938550232221604,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",45,6,244,0.978743703161437,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",46,6,245,0.663676094016115,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",51,6,250,0,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",53,6,252,0.842487118261795,"bs",0.173059141816144,2,2,1,2,Inf
180,430,2,6,"FD",60,6,258,1.00439884728082,"bs",0.173059141816144,2,2,1,2,Inf
